"Latitude (decimal degrees):	42.088",,,,,,
"Longitude (decimal degrees):	2.816",,,,,,
"Elevation (m):	99",,,,,,
"Radiation database:	PVGIS-SARAH3",,,,,,
,,,,,,
,,,,,,
Slope: 30 deg. ,,,,,,
Azimuth: 0 deg. ,,,,,,
"Nominal power of the PV system (c-Si) (kWp):	1.0",,,,,,
"System losses (%):	14.0",,,,,,
time,P,G(i),H_sun,T2m,WS10m,Int
20230306:1410,436.52,552.97,33.87,14.14,1.79,0
20230306:1510,272.02,340.37,25.7,14.08,2.69,0
20230306:1610,231.44,295.53,16.02,13.35,3.38,0
20230306:1710,40.27,74.4,5.44,12,2.9,0
20230306:1810,0,0,0,10.54,2.28,0
20230306:1910,0,0,0,10.03,2.28,0
20230306:2010,0,0,0,9.77,1.79,0
20230306:2110,0,0,0,9.49,1.45,0
20230306:2210,0,0,0,9.16,1.1,0
20230306:2310,0,0,0,8.59,0.69,0
20230307:0010,0,0,0,8.13,0.97,0
20230307:0110,0,0,0,7.82,1.52,0
20230307:0210,0,0,0,7.34,1.79,0
20230307:0310,0,0,0,7.04,1.59,0
20230307:0410,0,0,0,6.71,1.31,0
20230307:0510,0,0,0,6.15,1.24,0
20230307:0610,0,0,0,5.66,1.31,0
20230307:0710,126.3,177.52,9.21,5.55,1.45,0
20230307:0810,357.57,442.94,19.57,7.56,1.1,0
20230307:0910,501.16,635.41,28.87,10.27,0.9,0
20230307:1010,597.69,770.62,36.41,12.49,2,0
20230307:1110,608.4,782.87,41.28,14.52,3.24,0
20230307:1210,464.67,585.71,42.58,16.23,4.21,0
20230307:1310,293.72,369.74,40.04,17.31,5.1,0
20230307:1410,411.05,514.25,34.19,17.96,5.72,0
20230307:1510,454.01,570.31,25.98,17.93,5.31,0
20230307:1610,140.94,188.59,16.26,17.78,3.66,0
20230307:1710,50.98,94.84,5.67,17.15,1.66,0
20230307:1810,0,0,0,14.64,2.83,0
20230307:1910,0,0,0,12.21,4.21,0
20230307:2010,0,0,0,11.21,2.28,0
20230307:2110,0,0,0,10.92,0.62,0
20230307:2210,0,0,0,9.84,0.48,0
20230307:2310,0,0,0,8.83,1.1,0
20230308:0010,0,0,0,8.06,1.52,0
20230308:0110,0,0,0,7.58,1.66,0
20230308:0210,0,0,0,7.11,1.93,0
20230308:0310,0,0,0,7.19,2.34,0
20230308:0410,0,0,0,7.44,2.76,0
20230308:0510,0,0,0,7.53,2.9,0
20230308:0610,0,0,0,7.37,2.69,0
20230308:0710,60.87,90.25,9.53,7.36,1.66,0
20230308:0810,187.46,236.01,19.9,9.49,1.66,0
20230308:0910,329.6,412.09,29.23,12.65,1.38,0
20230308:1010,259.47,329.66,36.79,15.39,1.79,0
20230308:1110,214.04,276.07,41.67,17.65,2.97,0
20230308:1210,223.58,288.7,42.97,19.46,4.34,0
20230308:1310,448.75,572.06,40.39,20.53,5.38,0
20230308:1410,529.83,676.93,34.5,21.1,6.14,0
20230308:1510,397.42,502.47,26.25,21.15,6.62,0
20230308:1610,226.68,297.97,16.51,20.86,5.31,0
20230308:1710,43.23,79.35,5.89,19.96,3.17,0
20230308:1810,0,0,0,17.49,2.07,0
20230308:1910,0,0,0,17.37,0.55,0
20230308:2010,0,0,0,15.33,2.55,0
20230308:2110,0,0,0,14.6,3.66,0
20230308:2210,0,0,0,14.55,3.79,0
20230308:2310,0,0,0,14.04,3.24,0
20230309:0010,0,0,0,13.3,2.76,0
20230309:0110,0,0,0,12.07,2.21,0
20230309:0210,0,0,0,10.98,2.07,0
20230309:0310,0,0,0,9.96,1.24,0
20230309:0410,0,0,0,9.61,0.97,0
20230309:0510,0,0,0,9.59,1.31,0
20230309:0610,0,0,0,9.49,1.52,0
20230309:0710,49.06,75.41,9.84,10.03,1.31,0
20230309:0810,31.93,52.97,20.24,11.8,1.17,0
20230309:0910,62.86,91.76,29.58,14.22,2.14,0
20230309:1010,123.63,164.6,37.17,14.9,3.03,0
20230309:1110,192.33,247.5,42.07,16.14,3.59,0
20230309:1210,163.67,213.44,43.36,16.65,3.93,0
20230309:1310,608.16,783.97,40.75,17.65,4.48,0
20230309:1410,593.69,765.33,34.81,19.17,4.76,0
20230309:1510,454.74,577.11,26.52,19.72,5.1,0
20230309:1610,274.87,358.1,16.75,19.6,5.03,0
20230309:1710,57.5,102.88,6.12,18.71,4.76,0
20230309:1810,0,0,0,17.21,4,0
20230309:1910,0,0,0,16.3,3.03,0
20230309:2010,0,0,0,15,2.55,0
20230309:2110,0,0,0,13.51,1.86,0
20230309:2210,0,0,0,12.28,2.28,0
20230309:2310,0,0,0,11.33,1.66,0
20230310:0010,0,0,0,10.53,1.59,0
20230310:0110,0,0,0,9.53,1.79,0
20230310:0210,0,0,0,9.28,2,0
20230310:0310,0,0,0,8.98,2,0
20230310:0410,0,0,0,8.36,1.72,0
20230310:0510,0,0,0,7.41,1.52,0
20230310:0610,0,0,0,7.62,1.93,0
20230310:0710,140.74,196.97,10.16,8.08,1.72,0
20230310:0810,362.68,455.77,20.57,11.26,1.45,0
20230310:0910,524.73,682.51,29.94,14.46,1.03,0
20230310:1010,635.15,863.15,37.55,16.3,0.97,0
20230310:1110,668.16,905.2,42.46,17.3,1.93,0
20230310:1210,719.55,981.37,43.75,17.78,2.48,0
20230310:1310,699.97,943.03,41.11,18,2.83,0
20230310:1410,613,800.83,35.12,17.79,3.24,0
20230310:1510,201.52,258.44,26.79,16.93,3.52,0
20230310:1610,116.93,158.37,16.99,16.41,2.97,0
20230310:1710,14.17,30.33,6.34,15.54,1.72,0
20230310:1810,0,0,0,14.25,0.69,0
20230310:1910,0,0,0,13.55,0.83,0
20230310:2010,0,0,0,12.71,1.24,0
20230310:2110,0,0,0,11.92,1.52,0
20230310:2210,0,0,0,11.45,1.59,0
20230310:2310,0,0,0,11.29,1.79,0
20230311:0010,0,0,0,10.51,1.79,0
20230311:0110,0,0,0,9.93,1.86,0
20230311:0210,0,0,0,9.88,2.21,0
20230311:0310,0,0,0,9.74,2.34,0
20230311:0410,0,0,0,9.57,2.34,0
20230311:0510,0,0,0,9.27,2.41,0
20230311:0610,0,0,0,8.98,2.55,0
20230311:0710,140.34,197.3,10.48,10.08,2.21,0
20230311:0810,357.8,451.83,20.91,13.27,1.93,0
20230311:0910,507.49,657.35,30.3,17.06,2,0
20230311:1010,375.11,488.34,37.94,18.96,1.03,0
20230311:1110,506.29,693.48,42.86,20.46,0.14,0
20230311:1210,544.12,742.46,44.14,21.33,1.1,0
20230311:1310,316.91,413.26,41.46,21.48,2.07,0
20230311:1410,341.99,443.63,35.43,21.61,2.55,0
20230311:1510,258.37,333.77,27.06,21.18,3.38,0
20230311:1610,197.47,261.22,17.23,19.88,3.24,0
20230311:1710,44.53,79.54,6.56,18.31,2.28,0
20230311:1810,0,0,0,16.69,1.17,0
20230311:1910,0,0,0,15.66,0.97,0
20230311:2010,0,0,0,14.28,1.1,0
20230311:2110,0,0,0,13.25,1.31,0
20230311:2210,0,0,0,12.43,1.38,0
20230311:2310,0,0,0,11.96,1.38,0
20230312:0010,0,0,0,11.73,1.31,0
20230312:0110,0,0,0,11.58,1.24,0
20230312:0210,0,0,0,11.58,1.17,0
20230312:0310,0,0,0,11.07,1.31,0
20230312:0410,0,0,0,10.47,1.45,0
20230312:0510,0,0,0,9.78,1.66,0
20230312:0610,0,0,0,9.36,1.86,0
20230312:0710,128.51,180.36,10.8,9.85,1.45,0
20230312:0810,358.33,458.19,21.24,14.02,0.97,0
20230312:0910,508.23,664.53,30.66,16.29,1.1,0
20230312:1010,623.95,854.58,38.32,17.88,0.9,0
20230312:1110,679.43,967.72,43.26,19.26,0.62,0
20230312:1210,690.46,1001.08,44.53,20.76,0.55,0
20230312:1310,671.81,936.56,41.82,21.68,1.86,0
20230312:1410,570.36,744.47,35.74,20.92,4.14,0
20230312:1510,454,575.12,27.33,19.02,4.83,0
20230312:1610,287.42,371.74,17.47,17.52,4.14,0
20230312:1710,62.57,108.9,6.78,16.41,2.83,0
20230312:1810,0,0,0,15.44,1.79,0
20230312:1910,0,0,0,15.06,1.72,0
20230312:2010,0,0,0,14.22,2.07,0
20230312:2110,0,0,0,13.35,2.28,0
20230312:2210,0,0,0,12.71,2.41,0
20230312:2310,0,0,0,12.3,2.34,0
20230313:0010,0,0,0,11.94,2.21,0
20230313:0110,0,0,0,11.49,2.07,0
20230313:0210,0,0,0,11.1,2,0
20230313:0310,0,0,0,10.76,2,0
20230313:0410,0,0,0,10.25,2.07,0
20230313:0510,0,0,0,10.06,2.28,0
20230313:0610,0,0,0,10.08,2.62,0
20230313:0710,10.75,24.6,11.12,12.31,3.52,0
20230313:0810,102.97,140.06,21.58,15.46,4,0
20230313:0910,507,641.08,31.02,18.05,4.97,0
20230313:1010,451.07,571.2,38.7,20.05,6,0
20230313:1110,730.56,964.19,43.66,21.76,6.48,0
20230313:1210,749,996.32,44.92,22.43,6.48,0
20230313:1310,715.45,946.12,42.17,22.58,6.41,0
20230313:1410,604.86,782.24,36.05,22.23,6.48,0
20230313:1510,458.39,581.52,27.6,21.35,6.62,0
20230313:1610,287.42,373.21,17.7,20.24,6.48,0
20230313:1710,37.09,66.25,7,18.94,6.21,0
20230313:1810,0,0,0,17.77,5.59,0
20230313:1910,0,0,0,16.53,6.21,0
20230313:2010,0,0,0,16.19,5.24,0
20230313:2110,0,0,0,15.92,3.66,0
20230313:2210,0,0,0,15.57,0.34,0
20230313:2310,0,0,0,13.7,3.17,0
20230314:0010,0,0,0,12.24,2.97,0
20230314:0110,0,0,0,11.46,2,0
20230314:0210,0,0,0,10.68,1.1,0
20230314:0310,0,0,0,9.93,0.97,0
20230314:0410,0,0,0,8.84,1.24,0
20230314:0510,0,0,0,8.15,1.59,0
20230314:0610,0,0,0,8.48,1.52,0
20230314:0710,132.87,185.21,11.45,10.11,0.69,0
20230314:0810,373.04,474.8,21.92,12.13,0.62,0
20230314:0910,554.3,710.09,31.38,13.8,2.21,0
20230314:1010,676.57,884.68,39.09,14.7,3.03,0
20230314:1110,740.12,992.4,44.06,14.74,2.69,0
20230314:1210,629.93,821,45.31,14.34,2.69,0
20230314:1310,639.15,830.46,42.52,14.81,3.1,0
20230314:1410,393.83,493.78,36.36,14.93,3.03,0
20230314:1510,41.25,65.27,27.86,14.4,2.07,0
20230314:1610,215.76,277.3,17.94,14.36,2.9,0
20230314:1710,68.67,116.51,7.22,13.64,2.83,0
20230314:1810,0,0,0,12.48,1.66,0
20230314:1910,0,0,0,11.89,0.76,0
20230314:2010,0,0,0,10.34,1.1,0
20230314:2110,0,0,0,9.26,1.38,0
20230314:2210,0,0,0,8.77,1.24,0
20230314:2310,0,0,0,7.74,1.72,0
20230315:0010,0,0,0,7.56,2.07,0
20230315:0110,0,0,0,7.58,2.28,0
20230315:0210,0,0,0,7.19,2.21,0
20230315:0310,0,0,0,6.72,1.93,0
20230315:0410,0,0,0,6.32,1.79,0
20230315:0510,0,0,0,6.2,1.72,0
20230315:0610,0,0,0,6.18,1.72,0
20230315:0710,127.91,175.06,11.77,6.9,1.03,0
20230315:0810,361.86,458.66,22.26,10.73,0.21,0
20230315:0910,536.41,698.28,31.74,12.71,0.62,0
20230315:1010,654.9,882.28,39.48,13.75,0.97,0
20230315:1110,686.56,941.41,44.46,15.06,1.1,0
20230315:1210,724.6,1007.75,45.7,16,1.31,0
20230315:1310,424.94,545.44,42.88,16.32,1.79,0
20230315:1410,338.28,428.9,36.67,16.41,2.28,0
20230315:1510,199.35,255.48,28.13,16.17,3.1,0
20230315:1610,231.6,298.86,18.18,15.59,2.83,0
20230315:1710,66.07,112.23,7.44,14.82,2.41,0
20230315:1810,0,0,0,13.63,1.45,0
20230315:1910,0,0,0,12.67,1.03,0
20230315:2010,0,0,0,12.21,0.83,0
20230315:2110,0,0,0,11.06,1.03,0
20230315:2210,0,0,0,10.02,1.24,0
20230315:2310,0,0,0,9.12,1.45,0
20230316:0010,0,0,0,8.81,1.38,0
20230316:0110,0,0,0,8.34,1.59,0
20230316:0210,0,0,0,7.91,1.86,0
20230316:0310,0,0,0,7.33,1.86,0
20230316:0410,0,0,0,6.63,1.59,0
20230316:0510,0,0,0,6.27,1.31,0
20230316:0610,0,0,0,5.9,1.17,0
20230316:0710,150.92,206.85,12.1,8.28,1.1,0
20230316:0810,382.46,480.33,22.6,10.63,1.17,0
20230316:0910,557.38,713.2,32.1,12.38,1.79,0
20230316:1010,678.71,892.35,39.86,14.14,2.55,0
20230316:1110,744.43,992.25,44.86,15.52,3.31,0
20230316:1210,778.39,1042.95,46.09,16.63,3.93,0
20230316:1310,735.52,969.94,43.23,17.51,4.55,0
20230316:1410,642.6,826.4,36.97,17.71,5.03,0
20230316:1510,494.69,621.77,28.39,17.27,5.24,0
20230316:1610,294.9,377.03,18.41,16.27,5.24,0
20230316:1710,69.96,118.05,7.66,14.84,4.69,0
20230316:1810,0,0,0,13.34,3.93,0
20230316:1910,0,0,0,12.61,3.66,0
20230316:2010,0,0,0,11.98,3.45,0
20230316:2110,0,0,0,11.64,3.31,0
20230316:2210,0,0,0,11.33,3.24,0
20230316:2310,0,0,0,11.1,3.1,0
20230317:0010,0,0,0,11.01,3.03,0
20230317:0110,0,0,0,11.04,2.9,0
20230317:0210,0,0,0,11.03,2.9,0
20230317:0310,0,0,0,10.95,2.9,0
20230317:0410,0,0,0,11.03,2.83,0
20230317:0510,0,0,0,11.07,2.69,0
20230317:0610,0,0,0,10.91,2.55,0
20230317:0710,158.48,217.98,12.43,10.91,2.55,0
20230317:0810,222.22,277.84,22.94,11.98,3.59,0
20230317:0910,229.71,287.29,32.47,13,3.79,0
20230317:1010,584.39,739.14,40.25,14.1,4.07,0
20230317:1110,562.06,710.77,45.26,15.1,4.55,0
20230317:1210,697.27,901.45,46.48,15.6,4.83,0
20230317:1310,719.54,931.17,43.58,16.42,5.31,0
20230317:1410,605.88,766.75,37.27,16.63,5.59,0
20230317:1510,187.84,240.28,28.65,16.26,5.59,0
20230317:1610,271.65,345.74,18.64,15.41,5.38,0
20230317:1710,60.35,100.37,7.87,14.28,4.69,0
20230317:1810,0,0,0,13.11,3.66,0
20230317:1910,0,0,0,11.99,3.31,0
20230317:2010,0,0,0,11.46,2.97,0
20230317:2110,0,0,0,11.02,2.34,0
20230317:2210,0,0,0,10.57,2.14,0
20230317:2310,0,0,0,10.36,2.07,0
20230318:0010,0,0,0,9.98,1.86,0
20230318:0110,0,0,0,9.29,1.45,0
20230318:0210,0,0,0,8.91,1.03,0
20230318:0310,0,0,0,8.84,0.76,0
20230318:0410,0,0,0,8.76,0.62,0
20230318:0510,0,0,0,8.79,0.55,0
20230318:0610,0,0.95,1.74,9.18,0.69,0
20230318:0710,63.76,93.26,12.75,11.07,0.07,0
20230318:0810,124.48,164.59,23.28,12.35,0.9,0
20230318:0910,85.03,118.25,32.83,13.58,1.52,0
20230318:1010,231.15,294.36,40.64,14.54,1.72,0
20230318:1110,423.08,538.47,45.67,14.94,2,0
20230318:1210,491.71,631.52,46.87,15.41,2.28,0
20230318:1310,504.13,647.83,43.93,16.15,2.62,0
20230318:1410,247.42,314.95,37.58,16.52,2.9,0
20230318:1510,218.6,279.09,28.91,16.58,3.17,0
20230318:1610,61.44,90.4,18.87,15.59,3.72,0
20230318:1710,24.65,44.71,8.09,14.38,2.9,0
20230318:1810,0,0,0,13.4,2.07,0
20230318:1910,0,0,0,12.54,1.86,0
20230318:2010,0,0,0,12.13,0.9,0
20230318:2110,0,0,0,11.81,0.97,0
20230318:2210,0,0,0,11.21,1.45,0
20230318:2310,0,0,0,11.02,1.66,0
20230319:0010,0,0,0,11.06,1.72,0
20230319:0110,0,0,0,10.61,1.66,0
20230319:0210,0,0,0,10.34,1.38,0
20230319:0310,0,0,0,9.85,1.45,0
20230319:0410,0,0,0,9.29,1.52,0
20230319:0510,0,0,0,8.62,1.59,0
20230319:0610,0.03,5.68,2.06,7.89,1.72,0
20230319:0710,95.69,132.44,13.08,8.83,0.9,0
20230319:0810,163.63,211.2,23.63,12.1,0.55,0
20230319:0910,520.5,676.73,33.19,13.59,0.76,0
20230319:1010,549.06,728.49,41.03,14.39,0.48,0
20230319:1110,622.5,851.25,46.07,15.59,0.55,0
20230319:1210,497.41,650.84,47.26,16.23,1.31,0
20230319:1310,507.16,659.11,44.28,16.52,1.93,0
20230319:1410,213.71,274.71,37.88,16.6,2.41,0
20230319:1510,32.05,53.92,29.17,15.75,2.28,0
20230319:1610,242.64,312.63,19.1,14.35,1.66,0
20230319:1710,43.08,71.87,8.3,13.5,0.48,0
20230319:1810,0,0,0,12.86,1.03,0
20230319:1910,0,0,0,12.53,0.9,0
20230319:2010,0,0,0,11.75,1.45,0
20230319:2110,0,0,0,10.91,1.52,0
20230319:2210,0,0,0,10.02,1.66,0
20230319:2310,0,0,0,9.78,1.45,0
20230320:0010,0,0,0,9.76,1.24,0
20230320:0110,0,0,0,9.71,0.97,0
20230320:0210,0,0,0,9.52,0.9,0
20230320:0310,0,0,0,9.9,0.76,0
20230320:0410,0,0,0,9.3,1.1,0
20230320:0510,0,0,0,8.87,1.38,0
20230320:0610,0.78,7.57,2.39,8.74,1.45,0
20230320:0710,172.62,234.04,13.41,9.14,1.45,0
20230320:0810,251.31,313.69,23.97,11.14,1.86,0
20230320:0910,351.45,435.76,33.56,11.74,2.14,0
20230320:1010,225.89,285.18,41.41,12.59,1.93,0
20230320:1110,276.51,349.67,46.47,13.56,1.45,0
20230320:1210,359.48,457.66,47.65,14.45,1.24,0
20230320:1310,232.64,297.86,44.63,15.29,1.52,0
20230320:1410,332.77,421.72,38.18,15.52,1.86,0
20230320:1510,208.75,265.87,29.43,15.05,2.76,0
20230320:1610,137.75,182.55,19.33,14.87,2.07,0
20230320:1710,42.48,70.78,8.51,14.32,1.86,0
20230320:1810,0,0,0,13.17,1.66,0
20230320:1910,0,0,0,12.05,1.24,0
20230320:2010,0,0,0,11.26,1.59,0
20230320:2110,0,0,0,10.48,1.72,0
20230320:2210,0,0,0,9.65,1.86,0
20230320:2310,0,0,0,8.89,2,0
20230321:0010,0,0,0,8.18,1.93,0
20230321:0110,0,0,0,7.67,1.86,0
20230321:0210,0,0,0,7.27,1.79,0
20230321:0310,0,0,0,7.18,1.66,0
20230321:0410,0,0,0,7.02,1.66,0
20230321:0510,0,0,0,6.86,1.66,0
20230321:0610,0.8,7.57,2.71,6.78,1.72,0
20230321:0710,0,0,0,7.55,1.17,0
20230321:0810,0,0,0,10.9,0.55,0
20230321:0910,488.93,631.03,33.92,13.23,0.69,0
20230321:1010,633.66,849.35,41.8,14.7,1.17,0
20230321:1110,660.35,899,46.88,15.98,1.31,0
20230321:1210,731.28,1017.92,48.04,16.91,1.59,0
20230321:1310,514.89,670.02,44.98,17.13,2.21,0
20230321:1410,378.86,482.78,38.47,17,2.28,0
20230321:1510,381.58,484.86,29.69,16.66,2.28,0
20230321:1610,215.75,280.52,19.56,16.26,2,0
20230321:1710,45.18,75.11,8.72,15.71,1.59,0
20230321:1810,0,0,0,14.72,1.24,0
20230321:1910,0,0,0,13.43,1.03,0
20230321:2010,0,0,0,12.53,1.38,0
20230321:2110,0,0,0,12.07,1.66,0
20230321:2210,0,0,0,10.79,1.79,0
20230321:2310,0,0,0,10.27,1.86,0
20230322:0010,0,0,0,9.69,1.79,0
20230322:0110,0,0,0,9.27,1.79,0
20230322:0210,0,0,0,9.02,1.79,0
20230322:0310,0,0,0,8.75,1.93,0
20230322:0410,0,0,0,8.37,1.93,0
20230322:0510,0,0,0,7.78,1.86,0
20230322:0610,2.83,12.43,3.03,7.3,1.86,0
20230322:0710,0,0,0,8.59,1.1,0
20230322:0810,393.9,505.56,24.65,13.5,0.55,0
20230322:0910,569.25,757.5,34.28,15.95,0.9,0
20230322:1010,671.02,918.3,42.19,17.55,1.52,0
20230322:1110,734.52,1022.49,47.28,18.99,2.14,0
20230322:1210,762.88,1068.95,48.43,20.01,2.55,0
20230322:1310,712.21,977.63,45.33,20.59,2.9,0
20230322:1410,634.75,848.08,38.77,20.78,3.24,0
20230322:1510,483.4,625.44,29.94,20.49,3.59,0
20230322:1610,277.53,362.59,19.78,19.76,3.86,0
20230322:1710,74.29,124.3,8.93,18.33,3.38,0
20230322:1810,0,0,0,16.52,2.9,0
20230322:1910,0,0,0,14.65,2.48,0
20230322:2010,0,0,0,13.49,2.34,0
20230322:2110,0,0,0,12.66,2.41,0
20230322:2210,0,0,0,12.16,2.48,0
20230322:2310,0,0,0,11.89,2.55,0
20230323:0010,0,0,0,11.58,2.48,0
20230323:0110,0,0,0,11.2,2.41,0
20230323:0210,0,0,0,10.75,2.34,0
20230323:0310,0,0,0,10.38,2.21,0
20230323:0410,0,0,0,10.07,2,0
20230323:0510,0,0,0,9.84,1.66,0
20230323:0610,1.65,9.46,3.35,9.52,1.38,0
20230323:0710,96.31,132.98,14.39,10.58,0.83,0
20230323:0810,276.95,353.06,25,13.51,0.21,0
20230323:0910,482.1,628.34,34.65,15.65,0.83,0
20230323:1010,658.7,898.19,42.58,17.35,1.45,0
20230323:1110,723.63,1006.94,47.68,18.98,2,0
20230323:1210,752.24,1047.63,48.82,20.34,2.76,0
20230323:1310,704.97,956.01,45.67,21.13,3.66,0
20230323:1410,627.99,828.31,39.07,21.35,4.34,0
20230323:1510,497.47,638.07,30.19,20.84,5.03,0
20230323:1610,243.49,316.61,20.01,19.76,5.45,0
20230323:1710,62.7,103.35,9.14,18.28,5.03,0
20230323:1810,0,0,0,16.6,4.69,0
20230323:1910,0,0,0,14.82,4.14,0
20230323:2010,0,0,0,13.89,3.72,0
20230323:2110,0,0,0,13.36,3.59,0
20230323:2210,0,0,0,13.09,3.52,0
20230323:2310,0,0,0,12.88,3.38,0
20230324:0010,0,0,0,12.64,3.24,0
20230324:0110,0,0,0,12.6,3.24,0
20230324:0210,0,0,0,12.62,3.38,0
20230324:0310,0,0,0,12.3,3.45,0
20230324:0410,0,0,0,11.91,3.45,0
20230324:0510,0,0,0,11.56,3.45,0
20230324:0610,4.33,15.14,3.68,11.28,3.24,0
20230324:0710,84.09,117.9,14.72,12.32,2.48,0
20230324:0810,107,145.18,25.34,14.77,1.45,0
20230324:0910,397.5,513.69,35.01,16.81,0.9,0
20230324:1010,470.55,609.32,42.97,17.58,2.14,0
20230324:1110,231.99,298.73,48.08,17.83,2.9,0
20230324:1210,347.67,443.62,49.21,18.17,3.31,0
20230324:1310,212.42,274.48,46.02,18.32,3.66,0
20230324:1410,312.32,395.39,39.36,17.64,3.79,0
20230324:1510,442.08,560.14,30.44,16.82,3.31,0
20230324:1610,241.3,312.2,20.23,16.14,2.34,0
20230324:1710,84.7,140.84,9.35,15.94,1.52,0
20230324:1810,0,0,0,15.41,0.97,0
20230324:1910,0,0,0,14.47,0.9,0
20230324:2010,0,0,0,13.82,1.52,0
20230324:2110,0,0,0,12.91,1.38,0
20230324:2210,0,0,0,13.67,0.21,0
20230324:2310,0,0,0,12.94,0.34,0
20230325:0010,0,0,0,12.5,0.62,0
20230325:0110,0,0,0,11.15,0.9,0
20230325:0210,0,0,0,10.44,0.9,0
20230325:0310,0,0,0,10.15,0.9,0
20230325:0410,0,0,0,10.4,0.83,0
20230325:0510,0,0,0,10.56,0.69,0
20230325:0610,3.11,12.3,4,10.5,0.41,0
20230325:0710,57.02,84.05,15.05,11.07,0.07,0
20230325:0810,123.53,163.58,25.68,12.26,0.62,0
20230325:0910,423.67,539.34,35.37,13.88,1.17,0
20230325:1010,650.48,868.01,43.35,15.05,1.72,0
20230325:1110,734.63,1006,48.48,16.62,2.21,0
20230325:1210,639.78,854.26,49.59,17.39,2.48,0
20230325:1310,560.11,731.79,46.36,18.36,3.1,0
20230325:1410,628.53,826.46,39.65,19.21,3.66,0
20230325:1510,498.84,633.82,30.69,18.66,4.83,0
20230325:1610,147.63,195.16,20.45,17.46,5.31,0
20230325:1710,74.95,121.95,9.56,16.22,5.03,0
20230325:1810,0,0,0,14.79,4.55,0
20230325:1910,0,0,0,13.58,4.55,0
20230325:2010,0,0,0,12.97,4.21,0
20230325:2110,0,0,0,12.37,3.79,0
20230325:2210,0,0,0,11.93,3.59,0
20230325:2310,0,0,0,11.72,3.52,0
20230326:0010,0,0,0,11.6,3.38,0
20230326:0110,0,0,0,11.5,3.24,0
20230326:0210,0,0,0,11.24,3.03,0
20230326:0310,0,0,0,10.86,2.83,0
20230326:0410,0,0,0,10.4,2.55,0
20230326:0510,0,0,0,9.87,2.34,0
20230326:0610,0.02,5.68,4.32,9.34,2.28,0
20230326:0710,77.13,108.21,15.38,10.44,1.59,0
20230326:0810,213.34,271.25,26.02,13.84,1.93,0
20230326:0910,582.28,749.46,35.74,15.52,2.97,0
20230326:1010,691.57,923.53,43.74,16.53,2.69,0
20230326:1110,531.11,693.94,48.88,17.37,2.34,0
20230326:1210,53.44,81.35,49.98,17.62,2.76,0
20230326:1310,125.81,168.38,46.7,16.81,3.59,0
20230326:1410,93.38,128.65,39.94,15.22,3.52,0
20230326:1510,70.98,101.22,30.94,13.59,2.76,0
20230326:1610,67.92,97.44,20.67,12.93,1.59,0
20230326:1710,2.07,10.41,9.77,12.91,0.97,0
20230326:1810,0,0,0,12.54,0.69,0
20230326:1910,0,0,0,12.21,0.83,0
20230326:2010,0,0,0,11.56,0.41,0
20230326:2110,0,0,0,10.51,0.69,0
20230326:2210,0,0,0,9.4,0.97,0
20230326:2310,0,0,0,8.5,1.24,0
20230327:0010,0,0,0,8.36,0.97,0
20230327:0110,0,0,0,8.7,0.69,0
20230327:0210,0,0,0,7.84,0.83,0
20230327:0310,0,0,0,7.52,0.83,0
20230327:0410,0,0,0,8.18,0.62,0
20230327:0510,0,0,0,8.1,0.76,0
20230327:0610,10.92,26,4.64,6.01,1.86,0
20230327:0710,162.66,214.52,15.7,8.51,1.72,0
20230327:0810,410.16,512.88,26.36,11.89,2.28,0
20230327:0910,545.01,692.92,36.1,13.34,2.55,0
20230327:1010,636.58,826.16,44.13,14.73,3.1,0
20230327:1110,772.84,1040.12,49.29,16.53,3.59,0
20230327:1210,797.36,1090.25,50.36,18.15,3.66,0
20230327:1310,698,939.32,47.04,19,3.31,0
20230327:1410,597.28,788.29,40.23,19.33,3.03,0
20230327:1510,502.66,651.77,31.19,18.7,2.76,0
20230327:1610,288.97,375.66,20.89,17.39,2.55,0
20230327:1710,53.28,85.24,9.97,16.05,2,0
20230327:1810,0,0,0,14.7,1.31,0
20230327:1910,0,0,0,12.98,1.17,0
20230327:2010,0,0,0,12.27,1.66,0
20230327:2110,0,0,0,11.46,2.14,0
20230327:2210,0,0,0,10.73,2.41,0
20230327:2310,0,0,0,10.2,2.34,0
20230328:0010,0,0,0,9.66,2,0
20230328:0110,0,0,0,8.96,1.79,0
20230328:0210,0,0,0,8.63,1.72,0
20230328:0310,0,0,0,8.31,1.72,0
20230328:0410,0,0,0,8.05,1.66,0
20230328:0510,0,0,0,7.89,1.38,0
20230328:0610,7.79,19.87,4.96,8.14,1.03,0
20230328:0710,133.89,178.25,16.03,9.02,0.76,0
20230328:0810,395.75,496.09,26.7,10.28,1.03,0
20230328:0910,572.04,735.84,36.46,11.45,1.38,0
20230328:1010,688.7,915.69,44.51,12.91,1.79,0
20230328:1110,686.09,918.87,49.68,14.16,1.93,0
20230328:1210,722.21,978.51,50.75,15.29,2.21,0
20230328:1310,710.1,952.94,47.38,16.24,2.69,0
20230328:1410,649.72,848.28,40.51,16.66,3.45,0
20230328:1510,498.74,635.72,31.43,17.22,3.59,0
20230328:1610,307.07,397.51,21.11,17.35,3.45,0
20230328:1710,82.11,133.83,10.18,16.81,3.17,0
20230328:1810,0,0,0,15.27,2.69,0
20230328:1910,0,0,0,13.68,3.17,0
20230328:2010,0,0,0,12.68,3.1,0
